search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle homeless,/watch?v=I1cXeU6DGRY&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Mayoral debate: Alleviating Seattle's homelessness crisis,620,3 months,Seattle Mayor Bruce Harrell and challenger Katie Wilson articulate their visions for dealing with Seattle's homelessness crisis.,2026-01-22 05:38:43.173712
seattle homeless,/watch?v=Ql6sSdlw0k0&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,Homeless man who dug up Seattle park with an excavator has now built a cabin there,15K,1 year,The man who is facing criminal charges for digging up the hillside of a Seattle city park with an excavator has now returned to the ...,2026-01-22 05:38:43.174794
seattle homeless,/shorts/r4gcikuVztQ,/@komonews,KOMO News,Homeless camp takeover results in Seattle property owner facing fines and costs,6.8K,5 months,"A homeless camp that once occupied a vacant building proved very costly for the property owner, who had to pay for security ...",2026-01-22 05:38:43.175949
seattle homeless,/watch?v=-Lxigk_29rU&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,Seattle councilmember to push for study of sanctioned homeless camp amid budget talks,1.6K,2 months,"Call it a short-term fix for the homeless crisis or a shantytown in the making, but a city leader in Seattle wants to explore the idea of ...",2026-01-22 05:38:43.177087
seattle homeless,/watch?v=1OHLaObuF8Q&pp=ygUQc2VhdHRsZSBob21lbGVzc9IHCQmHCgGHKiGM7w%3D%3D,/@discoveryinstitute,Discovery Institute,Homelessness in Seattle: How Did We Get Here?,835,1 year,"Restorations with Caitlyn McKenney - Ep. 6 In this episode, I'm joined by Discovery Senior Fellow and former Director of the U.S. ...",2026-01-22 05:38:43.178070
seattle homeless,/watch?v=RH1u-9QaB6E&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@Amanda_Expos%C3%A9,Amanda Exposé,Seattle's Homeless Hell - It's Worst Than You Think - Homeless In America,39K,7 months,Seattle's Homeless Hell - It's Worst Than You Think - Homeless In America Seattle is drowning in a crisis it can no longer ...,2026-01-22 05:38:43.179545
seattle homeless,/watch?v=_9_MHzrU4l4&pp=ygUQc2VhdHRsZSBob21lbGVzc9IHCQmHCgGHKiGM7w%3D%3D,/@InvisiblePeople,Invisible People,Seattle Homeless Family Finds Support in Tent City 3,542K,6 years,"Josiah, Tricia and their son live in Tent City 3, a city-sanctioned tent community in Seattle. Around 70 homeless people call Tent ...",2026-01-22 05:38:43.180847
seattle homeless,/watch?v=v1yB3xwqHag&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,"Mayor Wilson delays Ballard camp removal, sparking debate on Seattle's homeless strategy",7.4K,7 days,The decision to postpone the scheduled removal of a homeless camp in Ballard may signal how newly-elected Mayor Katie ...,2026-01-22 05:38:43.182114
seattle homeless,/shorts/_9z_yCwSJ-8,/@komonews,KOMO News,Man dies after shootout in notorious south Seattle homeless encampment,3.5K,6 months,A man who was wounded last week during a shootout inside an RV at a south Seattle homeless encampment has now died of his ...,2026-01-22 05:38:50.468519
seattle homeless,/watch?v=m-EtPXdlqEY&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,"Seattle Mayor Katie Wilson issues executive orders on homelessness, transit improvements",7.2K,6 days,Seattle Mayor Katie Wilson signed two executive orders Thursday aimed at addressing homelessness and improving public ...,2026-01-22 05:38:50.470191
