search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle crime,/watch?v=XRUjQVlrJ0c&pp=ygUNc2VhdHRsZSBjcmltZdIHCQmHCgGHKiGM7w%3D%3D,/@fox13seattle,FOX 13 Seattle,New report shows crime rate decline in Washington | FOX 13 Seattle,973,5 months,FOX 13's Sabirah Rayford speaks with Kent Police Chief Rafael Padilla about Washington's overall crime rates declining in 2024 ...,2026-01-22 05:37:30.129476
seattle crime,/watch?v=R3AiPN0LBcY&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,North Seattle shooting caught on camera,317K,1 year,"Surveillance video shared with KOMO News shows yet another shooting near Aurora Avenue North, an area in north Seattle ...",2026-01-22 05:37:30.130743
seattle crime,/watch?v=1PkL_KpzAOE&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Kent man charged in violent attack near Seattle Great Wheel | FOX 13 Seattle,393K,1 year,"In a shocking incident caught on video, a 22-year-old Kent man has been charged with three counts of assault following a violent ...",2026-01-22 05:37:30.132025
seattle crime,/watch?v=OAeI8ElqyPg&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,Who is funding drug deals in Seattle? Spoiler: You are,58K,3 months,Investigators in Seattle say they have broken up a crime ring that was exploiting food stamp funds to fuel drug sales in the ...,2026-01-22 05:37:30.133441
seattle crime,/watch?v=989WFGVnY_0&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@GMA,Good Morning America,On the frontlines: Seattle facing rise in crime,11K,3 years,Interim Chief of the Seattle Police Department Adrian Diaz on combating escalating gun violence in Seattle and the shortage of ...,2026-01-22 05:37:30.134824
seattle crime,/watch?v=XOuZOViHa4Q&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@kiro7,KIRO 7 News,Seattle police: Man bit off elderly woman’s finger during Rainier Beach robbery,7.3K,2 months,Seattle police are asking for the public's help identifying a man who violently attacked and robbed an 88-year-old woman outside ...,2026-01-22 05:37:30.136145
seattle crime,/watch?v=Zg7QPG9y0Ow&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Grandmother shot at ATM prepares to face gunman | FOX 13 Seattle,111K,2 months,A 67-year-old grandmother shot during an attempted robbery at an ATM wants the public to see what happened to her as a ...,2026-01-22 05:37:30.137416
seattle crime,/shorts/lgUXr30sMuM,/@komonews,KOMO News,"Prolific violent burglar arrested, suspected in other Seattle-area burglaries",6.3K,4 months,Police have arrested a longtime violent serial burglar who is accused of cutting off his ankle bracelet while on electronic home ...,2026-01-22 05:37:30.138683
seattle crime,/watch?v=Z95uGty1kAA&pp=ygUNc2VhdHRsZSBjcmltZQ%3D%3D,/@komonews,KOMO News,Video shows random attack on 75-year-old woman in downtown Seattle,166K,1 month,Newly-released videos show the moments a man attacked a woman at random outside the King County Courthouse in downtown ...,2026-01-22 05:37:30.139949
seattle crime,/shorts/KRrmoiLduO0,/@komonews,KOMO News,"10 people stabbed in Seattle's CID within 37 hours, man in custody",307K,1 year,A man was taken into custody after five people were stabbed in Seattle's Chinatown-International District Friday afternoon.,2026-01-22 05:37:36.404257
